family,Pearson,kinase
ALK,0.9687240382472451,2
Abl,0.959211333087695,2
Ack,0.8304238454083844,2
Akt,0.9749354398178577,3
Alpha,0.1981619680614465,4
Aur,0.9232720978357835,3
Axl,0.9595617405556407,3
BUB,0.2052772199686267,2
Bud32,0.0965030563472463,1
CAMK1,0.9222439702010995,5
CAMK2,0.8547697103407883,4
CAMKK,0.7959057443036129,2
CAMKL,0.7895899227497194,20
CDC7,-0.028637909948183316,1
CDK,0.9232645242649458,17
CDKL,0.76311665060942,2
CK1,0.9485480880074159,7
CK2,0.9180720286910079,2
CLK,0.8344878633395953,4
Csk,0.8866058948115154,2
DAPK,0.7920828111362217,4
DCAMKL,0.9019845007257057,2
DDR,0.8703946466470234,1
DMPK,0.9546690741027647,6
DYRK,0.8658196621434732,10
Dusty,0.38993830542674013,1
EGFR,0.9504840075222019,2
Eph,0.976188981850131,12
FAK,0.8974104290820495,2
FAM20C,0.0869763394514572,1
FGFR,0.9708205381253163,4
Fer,0.9522189395039495,2
GRK,0.8133476181055121,7
GSK,0.7835955449698652,2
Haspin,0.20311438633714335,1
IKK,0.8395396581419197,4
IRAK,0.6311116078912136,2
IRE,0.7122555884451447,2
InsR,0.9786759497939203,3
Jak,0.8955965740857642,4
KIS,0.1024356569814594,1
LISK,0.5764010061153408,3
LRRK,0.16478215330071017,1
MAPK,0.8818759660317733,12
MAPKAPK,0.8763702409910875,5
MAST,0.33743417181515345,1
MLCK,0.8660487257041963,4
MLK,0.7337835153843144,7
MOS,0.1730835192070912,1
Met,0.9794757343531983,2
Musk,0.95891896664331,1
NAK,0.7232549935083754,4
NDR,0.8178578969265451,4
NEK,0.7782348100131159,10
NKF1,0.7342624924789267,1
NKF2,0.3011511319069187,1
PDGFR,0.9687321874767237,5
PDHK,0.6766899079964322,3
PDK1,0.4773525159721632,1
PEK,0.6866177449046252,4
PHK,0.8693800680119004,2
PIKK,0.6494169364716426,5
PIM,0.9184281590872057,3
PKA,0.9654973924393283,4
PKC,0.949881326141088,9
PKD,0.8924127922971792,3
PKG,0.9388235076806603,2
PKN,0.8984768721473274,3
PLK,0.7203152812876417,4
RAD53,0.778938236540371,1
RAF,0.5934685330524654,2
RCK,0.8665795880048925,3
RIPK,0.62712483511819,4
RSK,0.9371073967139933,8
Ret,0.9689903951817258,1
SGK,0.8435235450234422,3
SRPK,0.9422737016469763,3
STE-Unique,0.26246889076513596,2
STE11,0.7499031572306992,7
STE20,0.8639317629980943,27
STE7,0.6995975272292756,6
STK33,0.33754889748551264,1
STKR,0.8578397866239376,9
Sev,0.9815495027938403,1
Src,0.9671516548845432,11
Syk,0.9574405437995741,2
TLK,0.7178364941386047,2
TOPK,0.11276617856532854,1
TSSK,0.8477050673723502,3
TTBK,0.811601988213031,2
TTK,0.21816383777157422,1
Tec,0.9620583410042295,5
Tie,0.9651663263345024,1
Trk,0.9697832930559267,3
ULK,0.5993320785192563,3
VEGFR,0.9643781045781612,3
VRK,0.6513869372014742,2
WEE,-0.09011506554725046,1
WNK,0.6182403066633149,4
YANK,0.8166840920260132,2
